exp_id,created_at,model_name,dataset_name,data_config_path,train_config_path,label_source,split_method,n_train,n_valid,n_test,n_features,accuracy,precision,recall,f1,auc,model_output_dir,experiment_dir,git_commit,hostname,python_version
20260331_140253_train_real_lr,2026-03-31 14:02:53,logistic_regression,real,configs/data_real.yaml,configs/train_real_lr.yaml,rule_pct_chg_latest,time_by_asof_date,48,27,4525,11,0.6666666666666666,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.7345679012345679,outputs/models_real/baseline_lr,experiments/20260331_140253_train_real_lr,315e0b43eadf39e59d28f2b0ef743e6c8c12f705,DESKTOP-K33V7M5,3.10.12
20260331_140253_train_real_lgbm,2026-03-31 14:02:53,lightgbm,real,configs/data_real.yaml,configs/train_real_lgbm.yaml,rule_pct_chg_latest,time_by_asof_date,48,27,4525,11,0.6296296296296297,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.7530864197530864,outputs/models_real/baseline_lgbm,experiments/20260331_140253_train_real_lgbm,315e0b43eadf39e59d28f2b0ef743e6c8c12f705,DESKTOP-K33V7M5,3.10.12
20260331_140254_train_real_xgb,2026-03-31 14:02:54,xgboost,real,configs/data_real.yaml,configs/train_real_xgb.yaml,rule_pct_chg_latest,time_by_asof_date,48,27,4525,11,0.6296296296296297,0.9,0.5,0.6428571428571429,0.808641975308642,outputs/models_real/baseline_xgb,experiments/20260331_140254_train_real_xgb,315e0b43eadf39e59d28f2b0ef743e6c8c12f705,DESKTOP-K33V7M5,3.10.12
20260331_140324_train_real_lr,2026-03-31 14:03:24,logistic_regression,real,configs/data_real.yaml,configs/train_real_lr.yaml,rule_pct_chg_latest,time_by_asof_date,48,27,4525,11,0.6666666666666666,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.7345679012345679,outputs/models_real/baseline_lr,experiments/20260331_140324_train_real_lr,315e0b43eadf39e59d28f2b0ef743e6c8c12f705,DESKTOP-K33V7M5,3.10.12
20260331_142227_train,2026-03-31 14:22:27,logistic_regression,data,configs/data.yaml,configs/train.yaml,rule_pct_chg_latest,time_by_asof_date,48,27,4525,11,0.6666666666666666,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.7345679012345679,outputs/models/baseline_lr,experiments/20260331_142227_train,315e0b43eadf39e59d28f2b0ef743e6c8c12f705,DESKTOP-K33V7M5,3.10.12
20260331_142228_train_lgbm,2026-03-31 14:22:28,lightgbm,data,configs/data.yaml,configs/train_lgbm.yaml,rule_pct_chg_latest,time_by_asof_date,48,27,4525,11,0.6296296296296297,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.7530864197530864,outputs/models/baseline_lgbm,experiments/20260331_142228_train_lgbm,315e0b43eadf39e59d28f2b0ef743e6c8c12f705,DESKTOP-K33V7M5,3.10.12
20260331_142228_train_xgb,2026-03-31 14:22:28,xgboost,data,configs/data.yaml,configs/train_xgb.yaml,rule_pct_chg_latest,time_by_asof_date,48,27,4525,11,0.6296296296296297,0.9,0.5,0.6428571428571429,0.808641975308642,outputs/models/baseline_xgb,experiments/20260331_142228_train_xgb,315e0b43eadf39e59d28f2b0ef743e6c8c12f705,DESKTOP-K33V7M5,3.10.12
